아이디,이름,,,
80307,PARTS_EQUIPMENT_WEAPON_HALBERD,Equipment,Weapon,Halberd
80308,PARTS_EQUIPMENT_WEAPON_HAMMER,Equipment,Weapon,Hammer
80309,PARTS_EQUIPMENT_WEAPON_HERMIT_STAFF,Equipment,Weapon,HermitStaff
80310,PARTS_EQUIPMENT_WEAPON_HUNTER_KNIFE,Equipment,Weapon,HunterKnife
80311,PARTS_EQUIPMENT_WEAPON_IRON_SWORD,Equipment,Weapon,IronSword
80312,PARTS_EQUIPMENT_WEAPON_KATANA,Equipment,Weapon,Katana
80313,PARTS_EQUIPMENT_WEAPON_KITCHEN_AXE,Equipment,Weapon,KitchenAxe
80314,PARTS_EQUIPMENT_WEAPON_KNIFE,Equipment,Weapon,Knife
80315,PARTS_EQUIPMENT_WEAPON_LANCE,Equipment,Weapon,Lance
80316,PARTS_EQUIPMENT_WEAPON_LARGE_PICKAXE,Equipment,Weapon,LargePickaxe
80317,PARTS_EQUIPMENT_WEAPON_LARGE_SCYTHE,Equipment,Weapon,LargeScythe
80318,PARTS_EQUIPMENT_WEAPON_LONG_BOW,Equipment,Weapon,LongBow
80319,PARTS_EQUIPMENT_WEAPON_LONG_KATANA,Equipment,Weapon,LongKatana
80320,PARTS_EQUIPMENT_WEAPON_LONGSWORD,Equipment,Weapon,Longsword
80321,PARTS_EQUIPMENT_WEAPON_MACE,Equipment,Weapon,Mace
80322,PARTS_EQUIPMENT_WEAPON_MAGIC_WAND,Equipment,Weapon,MagicWand
80323,PARTS_EQUIPMENT_WEAPON_MARDER_DAGGER,Equipment,Weapon,MarderDagger
80324,PARTS_EQUIPMENT_WEAPON_MASTER_GREATAXE,Equipment,Weapon,MasterGreataxe
80325,PARTS_EQUIPMENT_WEAPON_MASTER_WAND,Equipment,Weapon,MasterWand
80326,PARTS_EQUIPMENT_WEAPON_MORGENSTERN,Equipment,Weapon,Morgenstern
80327,PARTS_EQUIPMENT_WEAPON_NATURE_WAND,Equipment,Weapon,NatureWand
80328,PARTS_EQUIPMENT_WEAPON_NECROMANCER_STAFF,Equipment,Weapon,NecromancerStaff
80329,PARTS_EQUIPMENT_WEAPON_PAN,Equipment,Weapon,Pan
80330,PARTS_EQUIPMENT_WEAPON_PICKAXE,Equipment,Weapon,Pickaxe
80331,PARTS_EQUIPMENT_WEAPON_PITCHFORK,Equipment,Weapon,Pitchfork
80332,PARTS_EQUIPMENT_WEAPON_PRIEST_WAND,Equipment,Weapon,PriestWand
80333,PARTS_EQUIPMENT_WEAPON_RAKE,Equipment,Weapon,Rake
80334,PARTS_EQUIPMENT_WEAPON_RED_KATANA,Equipment,Weapon,RedKatana
80335,PARTS_EQUIPMENT_WEAPON_RED_STICK,Equipment,Weapon,RedStick
80336,PARTS_EQUIPMENT_WEAPON_RED_WAND,Equipment,Weapon,RedWand
80337,PARTS_EQUIPMENT_WEAPON_ROUND_MACE,Equipment,Weapon,RoundMace
80338,PARTS_EQUIPMENT_WEAPON_ROYAL_LONGSWORD,Equipment,Weapon,RoyalLongsword
80339,PARTS_EQUIPMENT_WEAPON_RUSTED_HAMMER,Equipment,Weapon,RustedHammer
80340,PARTS_EQUIPMENT_WEAPON_RUSTED_PICKAXE,Equipment,Weapon,RustedPickaxe
80341,PARTS_EQUIPMENT_WEAPON_RUSTED_SHORT_SWORD,Equipment,Weapon,RustedShortSword
80342,PARTS_EQUIPMENT_WEAPON_RUSTED_SHOVEL,Equipment,Weapon,RustedShovel
80343,PARTS_EQUIPMENT_WEAPON_SABER,Equipment,Weapon,Saber
80344,PARTS_EQUIPMENT_WEAPON_SCYTHE,Equipment,Weapon,Scythe
80345,PARTS_EQUIPMENT_WEAPON_SHESTOPER,Equipment,Weapon,Shestoper
80346,PARTS_EQUIPMENT_WEAPON_SHIT_ON_STICK,Equipment,Weapon,ShitOnStick
80347,PARTS_EQUIPMENT_WEAPON_SHORT_BOW,Equipment,Weapon,ShortBow
80348,PARTS_EQUIPMENT_WEAPON_SHORT_DAGGER,Equipment,Weapon,ShortDagger
80349,PARTS_EQUIPMENT_WEAPON_SICKLE,Equipment,Weapon,Sickle
80350,PARTS_EQUIPMENT_WEAPON_SKULL_WAND,Equipment,Weapon,SkullWand
80351,PARTS_EQUIPMENT_WEAPON_SMALL_AXE,Equipment,Weapon,SmallAxe
80352,PARTS_EQUIPMENT_WEAPON_SMALL_PITCHFORK,Equipment,Weapon,SmallPitchfork
80353,PARTS_EQUIPMENT_WEAPON_SPIKED_CLUB,Equipment,Weapon,SpikedClub
80354,PARTS_EQUIPMENT_WEAPON_STICK,Equipment,Weapon,Stick
80355,PARTS_EQUIPMENT_WEAPON_STORM_STAFF,Equipment,Weapon,StormStaff
80356,PARTS_EQUIPMENT_WEAPON_SWORD,Equipment,Weapon,Sword
80357,PARTS_EQUIPMENT_WEAPON_TANTO,Equipment,Weapon,Tanto
80358,PARTS_EQUIPMENT_WEAPON_WATER_WAND,Equipment,Weapon,WaterWand
80359,PARTS_EQUIPMENT_WEAPON_WIDE_DAGGER,Equipment,Weapon,WideDagger
80360,PARTS_EQUIPMENT_WEAPON_WOODCUTTER_AXE,Equipment,Weapon,WoodcutterAxe
80361,PARTS_EQUIPMENT_WEAPON_WOODEN_CLUB,Equipment,Weapon,WoodenClub
80362,PARTS_EQUIPMENT_WEAPON_WOODEN_STUFF,Equipment,Weapon,WoodenStuff
80363,PARTS_EQUIPMENT_FIREARM_SHOTGUN,Equipment,Firearm,Shotgun
80364,PARTS_EQUIPMENT_FIREARM_СROSSBOW,Equipment,Firearm,Сrossbow
